wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.7008, 'grad_norm': 0.43743664026260376, 'learning_rate': 9.397368756032445e-05, 'epoch': 0.38}
{'loss': 0.7547, 'grad_norm': 0.48878535628318787, 'learning_rate': 9.368956842848015e-05, 'epoch': 0.39}
{'loss': 0.6939, 'grad_norm': 0.47259220480918884, 'learning_rate': 9.339935520221816e-05, 'epoch': 0.4}
{'loss': 0.7175, 'grad_norm': 0.4709632396697998, 'learning_rate': 9.310308836229549e-05, 'epoch': 0.41}
{'loss': 0.7488, 'grad_norm': 0.49832674860954285, 'learning_rate': 9.280080923386501e-05, 'epoch': 0.41}
{'loss': 0.6721, 'grad_norm': 0.4915302097797394, 'learning_rate': 9.249255998071126e-05, 'epoch': 0.42}
{'loss': 0.7352, 'grad_norm': 0.49603134393692017, 'learning_rate': 9.217838359936914e-05, 'epoch': 0.43}
{'loss': 0.8285, 'grad_norm': 0.5195727348327637, 'learning_rate': 9.185832391312644e-05, 'epoch': 0.43}
{'loss': 0.8563, 'grad_norm': 0.4969615340232849, 'learning_rate': 9.153242556591116e-05, 'epoch': 0.44}
{'loss': 0.6709, 'grad_norm': 0.4622419774532318, 'learning_rate': 9.120073401606426e-05, 'epoch': 0.45}
{'loss': 0.6781, 'grad_norm': 0.4664877653121948, 'learning_rate': 9.086329552999891e-05, 'epoch': 0.46}
{'loss': 0.5788, 'grad_norm': 0.4583270847797394, 'learning_rate': 9.052015717574682e-05, 'epoch': 0.46}
{'loss': 0.6635, 'grad_norm': 0.5035826563835144, 'learning_rate': 9.017136681639307e-05, 'epoch': 0.47}
{'loss': 0.7305, 'grad_norm': 0.45620614290237427, 'learning_rate': 8.981697310339972e-05, 'epoch': 0.48}
{'loss': 0.7595, 'grad_norm': 0.5453087687492371, 'learning_rate': 8.945702546981969e-05, 'epoch': 0.49}
{'loss': 0.7559, 'grad_norm': 0.6916396617889404, 'learning_rate': 8.90915741234015e-05, 'epoch': 0.49}
{'loss': 0.7337, 'grad_norm': 0.4629622995853424, 'learning_rate': 8.872067003958598e-05, 'epoch': 0.5}
{'loss': 0.7453, 'grad_norm': 0.513840913772583, 'learning_rate': 8.834436495439588e-05, 'epoch': 0.51}
{'loss': 0.7734, 'grad_norm': 0.4987896680831909, 'learning_rate': 8.796271135721944e-05, 'epoch': 0.51}
{'loss': 0.7441, 'grad_norm': 0.4865947961807251, 'learning_rate': 8.757576248348882e-05, 'epoch': 0.52}
{'loss': 0.745, 'grad_norm': 0.5087959170341492, 'learning_rate': 8.718357230725449e-05, 'epoch': 0.53}
{'loss': 0.756, 'grad_norm': 0.5675942897796631, 'learning_rate': 8.678619553365659e-05, 'epoch': 0.54}
{'loss': 0.6427, 'grad_norm': 0.45982590317726135, 'learning_rate': 8.638368759129432e-05, 'epoch': 0.54}
{'loss': 0.7639, 'grad_norm': 0.4902951717376709, 'learning_rate': 8.597610462449442e-05, 'epoch': 0.55}
{'loss': 0.6902, 'grad_norm': 0.4873621463775635, 'learning_rate': 8.556350348547977e-05, 'epoch': 0.56}
{'loss': 0.8352, 'grad_norm': 0.556654155254364, 'learning_rate': 8.514594172643934e-05, 'epoch': 0.57}
{'loss': 0.691, 'grad_norm': 0.5079755187034607, 'learning_rate': 8.472347759150043e-05, 'epoch': 0.57}
{'loss': 0.6632, 'grad_norm': 0.4888696074485779, 'learning_rate': 8.429617000860441e-05, 'epoch': 0.58}
{'loss': 0.7071, 'grad_norm': 0.4435974955558777, 'learning_rate': 8.386407858128706e-05, 'epoch': 0.59}
